"id_permiso","permiso","descripcion","id_categoria_permiso"
1,"USR_CREATE","Crear usuarios",1
2,"USR_READ","Ver usuarios",1
3,"USR_UPDATE","Modificar usuarios",1
4,"USR_DELETE","Eliminar usuarios",1
6,"REP_GENERATE","Generar reportes",2
7,"REP_EXPORT","Exportar reportes",2
8,"HIS_VIEW","Ver historial de acciones",2
9,"VEN_CREATE","Registrar venta",3
10,"VEN_INVOICE","Emitir factura",3
11,"VEN_NO_STOCK","Vender sin stock",3
12,"VEN_AUTH_OVERLIMIT","Autorizar venta con limite superado",3
13,"CC_VIEW","Ver movimientos CC",3
14,"CC_NOTE_DEBIT","Generar nota de débito",3
15,"CC_NOTE_CREDIT","Generar nota de crédito",3
16,"PROD_CREATE","Crear productos",4
17,"PROD_READ","Ver productos",4
18,"PROD_UPDATE","Modificar productos",4
19,"PROD_DELETE","Eliminar productos",4
20,"PROD_BARCODE","Cargar codigos de barra",4
21,"PROD_PRICE_UPDATE","Actualizar precios",4
22,"PROD_STOCK_LOW","Ver stock bajo",4
23,"PROD_STOCK_IN","Registrar ingreso mercaderia",4
24,"CLI_CREATE","Crear clientes",5
25,"CLI_READ","Ver clientes",5
26,"CLI_UPDATE","Modificar clientes",5
27,"CLI_DELETE","Eliminar clientes",5
28,"SEARCH_USER","Buscar usuarios",6
29,"SEARCH_CLIENT","Buscar clientes",6
30,"SEARCH_PRODUCT","Buscar productos",6
31,"SEARCH_SALE","Buscar ventas",6
32,"CC_MANAGE","Crear/Actualizar/Eliminar configuraciones de CC",3
33,"CC_REGISTER_PAYMENT","Registrar pagos y movimientos en CC",3
34,"SALE_AUTHORIZE","Permite autorizar o rechazar ventas pendientes que exceden límite de crédito",3
35,"VEN_READ","Permite leer todas las ventas",3
36,"USR_PASSWORD_UPDATE","Modifica password de un usuario",1
37,"PROV_CREATE","Crear proveedores",3
38,"PROV_READ","Ver proveedores",3
39,"PROV_UPDATE","Editar proveedores",3
40,"PROV_DELETE","Eliminar proveedores",3
41,"LP_CREATE","Crear lista de precios de proveedor",4
42,"LP_READ","Ver listas de precios de proveedor",4
43,"LP_UPDATE","Modificar lista de precios de proveedor",4
44,"LP_DELETE","Eliminar lista de precios de proveedor",4
45,"LP_TOGGLE","Activar/desactivar lista de precios",4
46,"LP_ITEM_ADD","Agregar producto a lista de precios",4
47,"LP_ITEM_UPDATE","Modificar precio en lista de precios",4
48,"LP_ITEM_DELETE","Quitar producto de lista de precios",4
49,"COMP_CREATE","Registrar compra a proveedor",4
50,"COMP_READ","Ver compras a proveedor",4
51,"COMP_UPDATE","Modificar compra a proveedor",4
52,"COMP_DELETE","Eliminar compra a proveedor",4
53,"USR_PERM_READ","Ver lista de permisos disponibles",1
54,"SYS_CONFIG","Configurar datos del sistema (ferretería)",7
